300 vertices found.
Adding edge (0, 122) with weight 6.
Adding edge (122, 160) with weight 1.
Adding edge (122, 197) with weight 1.
Adding edge (122, 257) with weight 1.
Adding edge (238, 257) with weight 1.
Adding edge (185, 238) with weight 1.
Adding edge (250, 257) with weight 1.
Adding edge (30, 250) with weight 1.
Adding edge (257, 275) with weight 1.
Adding edge (272, 275) with weight 1.
Adding edge (11, 30) with weight 2.
Adding edge (24, 122) with weight 2.
Adding edge (30, 131) with weight 2.
Adding edge (42, 122) with weight 2.
Adding edge (71, 160) with weight 2.
Adding edge (8, 71) with weight 1.
Adding edge (8, 289) with weight 1.
Adding edge (71, 255) with weight 1.
Adding edge (289, 297) with weight 1.
Adding edge (287, 297) with weight 1.
Adding edge (246, 287) with weight 1.
Adding edge (161, 246) with weight 1.
Adding edge (246, 264) with weight 1.
Adding edge (259, 264) with weight 1.
Adding edge (8, 132) with weight 2.
Adding edge (18, 132) with weight 1.
Adding edge (18, 117) with weight 1.
Adding edge (132, 191) with weight 1.
Adding edge (191, 195) with weight 1.
Adding edge (8, 268) with weight 2.
Adding edge (209, 268) with weight 1.
Adding edge (18, 208) with weight 2.
Adding edge (66, 208) with weight 1.
Adding edge (18, 271) with weight 2.
Adding edge (49, 209) with weight 2.
Adding edge (49, 242) with weight 1.
Adding edge (71, 219) with weight 2.
Adding edge (85, 264) with weight 2.
Adding edge (108, 185) with weight 2.
Adding edge (27, 108) with weight 2.
Adding edge (27, 147) with weight 1.
Adding edge (27, 153) with weight 2.
Adding edge (153, 193) with weight 1.
Adding edge (108, 123) with weight 2.
Adding edge (123, 186) with weight 1.
Adding edge (117, 277) with weight 2.
Adding edge (204, 277) with weight 1.
Adding edge (204, 229) with weight 1.
Adding edge (229, 291) with weight 1.
Adding edge (243, 277) with weight 1.
Adding edge (243, 295) with weight 1.
Adding edge (244, 277) with weight 1.
Adding edge (144, 244) with weight 1.
Adding edge (2, 144) with weight 1.
Adding edge (144, 247) with weight 1.
Adding edge (152, 244) with weight 1.
Adding edge (278, 291) with weight 1.
Adding edge (205, 278) with weight 1.
Adding edge (9, 205) with weight 1.
Adding edge (156, 205) with weight 1.
Adding edge (156, 183) with weight 1.
Adding edge (135, 183) with weight 1.
Adding edge (133, 135) with weight 1.
Adding edge (89, 133) with weight 1.
Adding edge (135, 212) with weight 1.
Adding edge (210, 278) with weight 1.
Adding edge (21, 210) with weight 1.
Adding edge (210, 279) with weight 1.
Adding edge (281, 291) with weight 1.
Adding edge (109, 281) with weight 1.
Adding edge (281, 282) with weight 1.
Adding edge (150, 282) with weight 1.
Adding edge (282, 288) with weight 1.
Adding edge (203, 288) with weight 1.
Adding edge (284, 291) with weight 1.
Adding edge (202, 284) with weight 1.
Adding edge (92, 202) with weight 1.
Adding edge (92, 115) with weight 1.
Adding edge (2, 111) with weight 2.
Adding edge (29, 247) with weight 2.
Adding edge (109, 251) with weight 2.
Adding edge (116, 204) with weight 2.
Adding edge (23, 116) with weight 2.
Adding edge (15, 23) with weight 2.
Adding edge (122, 262) with weight 2.
Adding edge (120, 262) with weight 2.
Adding edge (61, 120) with weight 2.
Adding edge (126, 289) with weight 2.
Adding edge (126, 148) with weight 1.
Adding edge (148, 207) with weight 1.
Adding edge (45, 207) with weight 1.
Adding edge (79, 207) with weight 1.
Adding edge (113, 207) with weight 1.
Adding edge (207, 215) with weight 1.
Adding edge (35, 215) with weight 2.
Adding edge (65, 148) with weight 2.
Adding edge (55, 65) with weight 1.
Adding edge (55, 198) with weight 1.
Adding edge (79, 235) with weight 2.
Adding edge (133, 136) with weight 2.
Adding edge (128, 136) with weight 1.
Adding edge (136, 231) with weight 1.
Adding edge (38, 231) with weight 1.
Adding edge (51, 136) with weight 2.
Adding edge (136, 249) with weight 2.
Adding edge (121, 249) with weight 2.
Adding edge (148, 154) with weight 2.
Adding edge (53, 154) with weight 1.
Adding edge (4, 53) with weight 1.
Adding edge (142, 154) with weight 1.
Adding edge (14, 142) with weight 2.
Adding edge (53, 201) with weight 2.
Adding edge (53, 248) with weight 2.
Adding edge (141, 201) with weight 2.
Adding edge (141, 155) with weight 1.
Adding edge (43, 155) with weight 1.
Adding edge (43, 276) with weight 1.
Adding edge (260, 276) with weight 1.
Adding edge (152, 269) with weight 2.
Adding edge (269, 294) with weight 1.
Adding edge (239, 294) with weight 1.
Adding edge (187, 203) with weight 2.
Adding edge (193, 253) with weight 2.
Adding edge (166, 253) with weight 2.
Adding edge (166, 293) with weight 2.
Adding edge (198, 233) with weight 2.
Adding edge (208, 285) with weight 2.
Adding edge (189, 285) with weight 1.
Adding edge (285, 298) with weight 1.
Adding edge (261, 298) with weight 1.
Adding edge (212, 213) with weight 2.
Adding edge (5, 213) with weight 2.
Adding edge (5, 221) with weight 2.
Adding edge (199, 221) with weight 1.
Adding edge (199, 214) with weight 1.
Adding edge (96, 213) with weight 2.
Adding edge (221, 273) with weight 2.
Adding edge (222, 278) with weight 2.
Adding edge (224, 253) with weight 2.
Adding edge (224, 254) with weight 1.
Adding edge (232, 254) with weight 1.
Adding edge (229, 241) with weight 2.
Adding edge (107, 241) with weight 2.
Adding edge (233, 283) with weight 2.
Adding edge (283, 286) with weight 1.
Adding edge (90, 286) with weight 1.
Adding edge (234, 243) with weight 2.
Adding edge (119, 234) with weight 1.
Adding edge (72, 119) with weight 2.
Adding edge (237, 254) with weight 2.
Adding edge (174, 237) with weight 1.
Adding edge (114, 174) with weight 1.
Adding edge (174, 206) with weight 1.
Adding edge (227, 237) with weight 1.
Adding edge (171, 227) with weight 1.
Adding edge (91, 171) with weight 1.
Adding edge (227, 228) with weight 2.
Adding edge (225, 228) with weight 2.
Adding edge (62, 225) with weight 1.
Adding edge (62, 80) with weight 1.
Adding edge (69, 225) with weight 1.
Adding edge (69, 138) with weight 2.
Adding edge (80, 265) with weight 2.
Adding edge (211, 225) with weight 2.
Adding edge (118, 211) with weight 1.
Adding edge (67, 211) with weight 2.
Adding edge (33, 67) with weight 2.
Adding edge (239, 258) with weight 2.
Adding edge (240, 282) with weight 2.
Adding edge (244, 263) with weight 2.
Adding edge (251, 267) with weight 2.
Adding edge (252, 294) with weight 2.
Adding edge (256, 283) with weight 2.
Adding edge (277, 290) with weight 2.
Adding edge (292, 294) with weight 2.
Adding edge (179, 292) with weight 2.
Adding edge (172, 179) with weight 2.
Adding edge (296, 297) with weight 2.
Adding edge (297, 299) with weight 2.
Adding edge (64, 299) with weight 2.
Adding edge (2, 81) with weight 3.
Adding edge (7, 259) with weight 3.
Adding edge (10, 131) with weight 3.
Adding edge (11, 223) with weight 3.
Adding edge (26, 223) with weight 1.
Adding edge (25, 223) with weight 2.
Adding edge (14, 47) with weight 3.
Adding edge (47, 58) with weight 1.
Adding edge (58, 73) with weight 2.
Adding edge (26, 145) with weight 3.
Adding edge (32, 153) with weight 3.
Adding edge (32, 75) with weight 3.
Adding edge (37, 131) with weight 3.
Adding edge (37, 82) with weight 1.
Adding edge (44, 214) with weight 3.
Adding edge (46, 122) with weight 3.
Adding edge (50, 267) with weight 3.
Adding edge (63, 213) with weight 3.
Adding edge (66, 102) with weight 3.
Adding edge (102, 151) with weight 2.
Adding edge (72, 194) with weight 3.
Adding edge (194, 236) with weight 1.
Adding edge (139, 194) with weight 2.
Adding edge (88, 139) with weight 1.
Adding edge (192, 236) with weight 2.
Adding edge (74, 123) with weight 3.
Adding edge (83, 227) with weight 3.
Adding edge (83, 84) with weight 3.
Adding edge (84, 124) with weight 1.
Adding edge (3, 124) with weight 1.
Adding edge (3, 93) with weight 1.
Adding edge (84, 87) with weight 3.
Adding edge (95, 209) with weight 3.
Adding edge (97, 227) with weight 3.
Adding edge (98, 126) with weight 3.
Adding edge (101, 293) with weight 3.
Adding edge (104, 239) with weight 3.
Adding edge (40, 104) with weight 1.
Adding edge (40, 181) with weight 1.
Adding edge (116, 188) with weight 3.
Adding edge (130, 268) with weight 3.
Adding edge (6, 130) with weight 3.
Adding edge (6, 163) with weight 1.
Adding edge (137, 247) with weight 3.
Adding edge (137, 280) with weight 2.
Adding edge (177, 280) with weight 1.
Adding edge (140, 208) with weight 3.
Adding edge (141, 157) with weight 3.
Adding edge (146, 224) with weight 3.
Adding edge (155, 164) with weight 3.
Adding edge (162, 164) with weight 1.
Adding edge (169, 179) with weight 3.
Adding edge (170, 257) with weight 3.
Adding edge (176, 249) with weight 3.
Adding edge (187, 190) with weight 3.
Adding edge (200, 219) with weight 3.
Adding edge (129, 200) with weight 2.
Adding edge (112, 129) with weight 1.
Adding edge (175, 200) with weight 3.
Adding edge (220, 277) with weight 3.
Adding edge (226, 248) with weight 3.
Adding edge (245, 258) with weight 3.
Adding edge (196, 245) with weight 3.
Adding edge (16, 196) with weight 2.
Adding edge (16, 125) with weight 2.
Adding edge (266, 289) with weight 3.
Adding edge (22, 266) with weight 1.
Adding edge (22, 270) with weight 1.
Adding edge (267, 274) with weight 3.
Adding edge (1, 7) with weight 4.
Adding edge (5, 76) with weight 4.
Adding edge (19, 74) with weight 4.
Adding edge (35, 41) with weight 4.
Adding edge (39, 291) with weight 4.
Adding edge (55, 60) with weight 4.
Adding edge (77, 253) with weight 4.
Adding edge (78, 156) with weight 4.
Adding edge (94, 145) with weight 4.
Adding edge (99, 250) with weight 4.
Adding edge (111, 184) with weight 4.
Adding edge (143, 247) with weight 4.
Adding edge (146, 178) with weight 4.
Adding edge (147, 165) with weight 4.
Adding edge (156, 230) with weight 4.
Adding edge (162, 168) with weight 4.
Adding edge (167, 255) with weight 4.
Adding edge (57, 167) with weight 1.
Adding edge (180, 185) with weight 4.
Adding edge (217, 234) with weight 4.
Adding edge (7, 110) with weight 5.
Adding edge (110, 158) with weight 1.
Adding edge (31, 138) with weight 5.
Adding edge (31, 86) with weight 3.
Adding edge (37, 134) with weight 5.
Adding edge (40, 52) with weight 5.
Adding edge (34, 52) with weight 1.
Adding edge (54, 283) with weight 5.
Adding edge (59, 290) with weight 5.
Adding edge (68, 206) with weight 5.
Adding edge (68, 106) with weight 2.
Adding edge (103, 138) with weight 5.
Adding edge (105, 278) with weight 5.
Adding edge (216, 257) with weight 5.
Adding edge (218, 236) with weight 5.
Adding edge (2, 100) with weight 6.
Adding edge (20, 288) with weight 6.
Adding edge (34, 159) with weight 6.
Adding edge (36, 42) with weight 6.
Adding edge (43, 149) with weight 6.
Adding edge (48, 250) with weight 6.
Adding edge (70, 293) with weight 6.
Adding edge (133, 182) with weight 6.
Adding edge (173, 201) with weight 6.
Adding edge (13, 85) with weight 7.
Adding edge (127, 248) with weight 7.
Adding edge (12, 274) with weight 8.
Adding edge (56, 107) with weight 8.
Adding edge (17, 123) with weight 12.
Adding edge (24, 28) with weight 12.

Total weight of spanning tree: 677
